acc_pitch,acc_roll,acc_yaw,gyro_pitch,gyro_roll,gyro_yaw,magno_pitch,magno_roll,magno_yaw,y
-1.61,1.46,-44.99,3.32,-9.99,44.95,-55.33,-6.92,-29.25,1
-4.4,1.32,-44.92,-0.1,-0.1,-0.1,-51.44,-7.87,-31.55,1
-4.4,1.17,-44.92,-0.1,-0.1,-0.1,-51.57,-7.4,-31.52,1
-4.25,1.32,-44.92,-0.1,-0.1,-0.1,-51.56,-7.39,-31.52,1
-4.39,1.17,-44.92,-0.0,0.0,-45.0,-51.25,-9.12,-31.52,1
-1.61,1.17,-44.99,-0.1,-0.1,-0.1,-50.12,-11.02,-31.95,1
-1.46,1.17,-44.99,-0.1,-0.1,-0.1,-50.26,-12.22,-31.69,1
-1.46,1.32,-44.99,-0.1,-0.1,-0.1,-50.35,-12.08,-31.65,1
-1.46,1.32,-44.99,-0.1,-0.1,-0.1,-50.55,-12.12,-31.53,1
-1.32,1.46,-44.99,-0.1,-0.1,-0.1,-50.44,-12.04,-31.6,1
-1.46,1.32,-44.99,-0.1,-0.1,-0.1,-50.26,-12.43,-31.65,1
-1.32,1.32,-44.99,-0.1,-0.1,-0.1,-50.16,-10.74,-31.96,1
-1.17,1.32,-44.99,-0.1,-0.1,-0.1,-51.44,-3.4,-31.87,1
-1.32,1.32,-44.99,-0.0,0.0,-45.0,-50.76,-5.54,-32.13,1
-1.17,1.46,-44.99,-0.1,-0.1,-0.1,-50.28,-10.55,-31.91,1
-1.17,1.46,-44.99,-0.1,-0.1,-0.1,-50.29,-10.46,-31.92,1
-1.32,1.62,-44.99,-0.1,-0.1,-0.1,-50.37,-10.18,-31.91,1
-1.32,1.03,-44.99,-0.1,-0.1,-0.1,-52.25,-8.66,-30.98,1
-1.17,0.88,-44.99,-0.0,0.0,-45.0,-53.82,-8.01,-30.08,1
-1.17,1.17,-44.99,-0.1,-0.1,-0.1,-54.0,-8.37,-29.93,1
-1.32,1.03,-44.99,-0.1,-0.1,-0.1,-53.96,-8.35,-29.95,1
-1.03,1.03,-45.0,-0.1,-0.1,-0.1,-54.03,-8.2,-29.93,1
-1.03,1.03,-45.0,-0.1,-0.1,-0.1,-54.07,-8.22,-29.9,1
-1.17,0.88,-44.99,-0.1,-0.1,-0.1,-53.91,-7.99,-30.03,1
-4.18,-13.14,-44.92,-22.99,-65.69,17.55,-54.27,-16.74,-27.94,0
-1.67,-16.17,-44.99,7.89,-13.9,-44.71,-55.37,-17.53,-26.81,0
-49.63,-8.32,-32.54,28.01,18.83,40.97,-57.04,-14.04,-26.65,0
65.5,-9.98,20.93,42.07,-1.37,-36.58,-54.41,-22.93,-25.15,0
6.06,3.98,-44.84,-7.67,-81.04,27.23,-53.37,-11.91,-29.77,1
-1.32,0.88,-44.99,-0.1,-0.1,-0.1,-53.57,-11.61,-29.7,1
-1.32,0.73,-44.99,-0.1,-0.1,-0.1,-53.52,-11.66,-29.72,1
-1.32,0.88,-44.99,-0.1,-0.1,-0.1,-53.53,-11.67,-29.72,1
-1.32,0.88,-44.99,-0.1,-0.1,-0.1,-53.54,-11.68,-29.71,1
-1.32,0.88,-44.99,-0.1,-0.1,-0.1,-54.01,-11.74,-29.38,1
-1.32,0.88,-44.99,-0.1,-0.1,-0.1,-53.55,-11.69,-29.7,1
-1.03,0.73,-45.0,-0.0,0.0,-45.0,-54.9,-10.79,-28.96,1
-0.73,0.59,-45.0,-0.1,-0.1,-0.1,-56.11,-10.03,-28.28,1
-0.73,0.73,-45.0,-0.1,-0.1,-0.1,-56.11,-10.02,-28.28,1
-0.73,0.73,-45.0,-0.1,-0.1,-0.1,-56.5,-10.12,-27.99,1
-0.74,0.74,-45.0,-0.1,-0.1,-0.1,-56.51,-10.13,-27.98,1
-0.74,0.74,-45.0,-0.1,-0.1,-0.1,-56.54,-10.14,-27.96,1
-0.74,0.88,-45.0,-0.1,-0.1,-0.1,-56.55,-10.14,-27.95,1
-0.74,0.88,-45.0,-0.1,-0.1,-0.1,-56.54,-10.14,-27.96,1
-0.74,0.88,-45.0,-0.1,-0.1,-0.1,-56.53,-10.14,-27.97,1
-0.73,0.88,-45.0,-0.1,-0.1,-0.1,-56.17,-10.07,-28.22,1
